,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
672,"If you don't mind, I would appreciate it if you could lower your wand.",My dad didn't strut. And nor do I.,"He, too, was exceedingly arrogant, strutting about the castle.","How extraordinarily like your father you are, Potter.",I was sleepwalking.,What are you doing wandering the corridors at night?,Potter.,Mischief managed. Nox.,We're trying to sleep here!,"Watch it there, boy.",Sorry.
673,Spare bit of parchment.,What's this?,Turn out your pockets!,Turn out your pockets.,"If you don't mind, I would appreciate it if you could lower your wand.",My dad didn't strut. And nor do I.,"He, too, was exceedingly arrogant, strutting about the castle.","How extraordinarily like your father you are, Potter.",I was sleepwalking.,What are you doing wandering the corridors at night?,Potter.
674,"Messrs. Moony, Wormtail, Padfoot, and Prongs offer their compliments to Professor Snape and...",Read it.,Reveal your secrets.,Really? Open it.,Spare bit of parchment.,What's this?,Turn out your pockets!,Turn out your pockets.,"If you don't mind, I would appreciate it if you could lower your wand.",My dad didn't strut. And nor do I.,"He, too, was exceedingly arrogant, strutting about the castle."
675,And request he keep his large nose out of other people's business.,Go on.,"Messrs. Moony, Wormtail, Padfoot, and Prongs offer their compliments to Professor Snape and...",Read it.,Reveal your secrets.,Really? Open it.,Spare bit of parchment.,What's this?,Turn out your pockets!,Turn out your pockets.,"If you don't mind, I would appreciate it if you could lower your wand."
676,"No, sir.",No.,"Did it never occur to you that this, in the hands of Sirius Black is a map to you?","I haven't the faintest idea how this map came to be in your possession but quite frankly, I am astounded that you didn't hand it in.",Come in.,Are you deaf? Put that light out!,"HARRY, would you come with me, please? Professor, good night.","It is, after all, as you say, my area of expertise.","Nevertheless, I shall investigate any hidden qualities it may possess.",I suspect it's a Zonko product.,It looks as though it's a parchment designed to insult anyone who tries to read it.
677,"Yes, sir.",Do you hear me?,"Now, I will not cover up for you again.",Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!,But he and your mother gave their lives to save yours.,Your father never set much store by the rules either.,"No, sir.",No.,"Did it never occur to you that this, in the hands of Sirius Black is a map to you?","I haven't the faintest idea how this map came to be in your possession but quite frankly, I am astounded that you didn't hand it in.",Come in.
678,"Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.,"Yes, sir.",Do you hear me?,"Now, I will not cover up for you again.",Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!,But he and your mother gave their lives to save yours.,Your father never set much store by the rules either.,"No, sir."
679,"Earlier, it showed someone in the castle.","Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.,"Yes, sir.",Do you hear me?,"Now, I will not cover up for you again.",Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!,But he and your mother gave their lives to save yours.,Your father never set much store by the rules either.
680,Someone I know to be dead.,"Earlier, it showed someone in the castle.","Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.,"Yes, sir.",Do you hear me?,"Now, I will not cover up for you again.",Gambling their sacrifice by wandering the castle unprotected with a killer on the loose seems to me a poor way to repay them!,But he and your mother gave their lives to save yours.
681,Peter Pettigrew.,"Oh, really? And who might that be?",Someone I know to be dead.,"Earlier, it showed someone in the castle.","Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.,"Yes, sir.",Do you hear me?,"Now, I will not cover up for you again."
682,It's just what I saw.,That's not possible.,Peter Pettigrew.,"Oh, really? And who might that be?",Someone I know to be dead.,"Earlier, it showed someone in the castle.","Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.,"Yes, sir."
683,"Good night, professor.",It's just what I saw.,That's not possible.,Peter Pettigrew.,"Oh, really? And who might that be?",Someone I know to be dead.,"Earlier, it showed someone in the castle.","Professor, just so you know, I don't think that map always works.","If you do, I shall know.",And don't take any detours.,I want you to return to your dormitory and stay there.
684,Hang on.,"I mean, not that she wasn't always mental but now it's in the open for everyone to see.","She's gone mental, Hermione has.",Have I said something?,"You may be young in years, but your heart is as shriveled as an old maid's, your soul as dry as the pages of the books to which you so desperately cleave.","No, you see, there.","My dear, from the first moment you stepped foot in my class I sensed that you did not possess the proper spirit for the noble art of Divination.","The Grim, possibly.",Do you mind me trying?,"Now, what do we have here?",Only then can you see. Try again.
685,We better take this back.,Hang on.,"I mean, not that she wasn't always mental but now it's in the open for everyone to see.","She's gone mental, Hermione has.",Have I said something?,"You may be young in years, but your heart is as shriveled as an old maid's, your soul as dry as the pages of the books to which you so desperately cleave.","No, you see, there.","My dear, from the first moment you stepped foot in my class I sensed that you did not possess the proper spirit for the noble art of Divination.","The Grim, possibly.",Do you mind me trying?,"Now, what do we have here?"
686,Fine. See you later.,I'm not going back.,We better take this back.,Hang on.,"I mean, not that she wasn't always mental but now it's in the open for everyone to see.","She's gone mental, Hermione has.",Have I said something?,"You may be young in years, but your heart is as shriveled as an old maid's, your soul as dry as the pages of the books to which you so desperately cleave.","No, you see, there.","My dear, from the first moment you stepped foot in my class I sensed that you did not possess the proper spirit for the noble art of Divination.","The Grim, possibly."
687,Professor Trelawney...,HARRY Potter,See you.,Fine. See you later.,I'm not going back.,We better take this back.,Hang on.,"I mean, not that she wasn't always mental but now it's in the open for everyone to see.","She's gone mental, Hermione has.",Have I said something?,"You may be young in years, but your heart is as shriveled as an old maid's, your soul as dry as the pages of the books to which you so desperately cleave."
688,Sorry?,He will return tonight.,Professor Trelawney...,HARRY Potter,See you.,Fine. See you later.,I'm not going back.,We better take this back.,Hang on.,"I mean, not that she wasn't always mental but now it's in the open for everyone to see.","She's gone mental, Hermione has."
689,No. Nothing.,Did you say something?,"I'm so sorry, dear boy.",Innocent blood shall be spilt and servant and master shall be reunited once more.,"Tonight, he who betrayed his friends, whose heart rots with murder shall break free.",Sorry?,He will return tonight.,Professor Trelawney...,HARRY Potter,See you.,Fine. See you later.
690,Why don't we just set him free?,Look at him. Loves the smell of the trees when the wind blows through them.,"Not good, brilliant.",That felt good.,"Not a word to anyone, understood?",Let's go. Quick.,"Malfoy, are you okay?",He's not worth it.,"Hermione, no!","You! You foul, loathsome, evil little cockroach!",Come to see the show?
691,Hagrid!,Blimey. What was that?,I meant me!,"Right. Next time I see Crookshanks, I'll let him know.",I think you owe someone an apology.,Keep a closer eye on your pet.,Scabbers! You're alive!,"Oh. Before you do, Ron...",You just drink your tea and be off.,Think I want you seeing something like that? No.,You'll do no such thing!
692,Hagrid.,Quick. Quick!,With you in a moment!,"Particularly you, HARRY.","Someone sees you outside this time of night, you'll be in trouble.",You shouldn't be here.,It's late. It's nearly dark.,"No, minister. Over this way.","Oh, crikey.",Hagrid!,Blimey. What was that?
693,It'll be fine. It'll be okay.,Hagrid.,Quick. Quick!,With you in a moment!,"Particularly you, HARRY.","Someone sees you outside this time of night, you'll be in trouble.",You shouldn't be here.,It's late. It's nearly dark.,"No, minister. Over this way.","Oh, crikey.",Hagrid!
694,What?,The execution shall dispatch...,All right. It'll be all right.,"Now, now, Hagrid. Now, come on.","Dear, dear...","Very well. It is the decision of the Committee for the Disposal of Dangerous Creatures that the hippogriff Buckbeak here in after called ""the condemned,"" shall be executed this day at sundown.","Well, I think we should get down to our business, shall we?",I'd like a cup of tea.,Gentlemen.,"No, Hagrid.","Have a tea, if you like."
695,"Oh, no.",Buckbeak didn't mean no harm.,Let's go!,I thought I just saw...Never mind.,What?,The execution shall dispatch...,All right. It'll be all right.,"Now, now, Hagrid. Now, come on.","Dear, dear...","Very well. It is the decision of the Committee for the Disposal of Dangerous Creatures that the hippogriff Buckbeak here in after called ""the condemned,"" shall be executed this day at sundown.","Well, I think we should get down to our business, shall we?"
696,Ron!,Ron. Ron!,He bit me. Scabbers.,"Oh, no.",Buckbeak didn't mean no harm.,Let's go!,I thought I just saw...Never mind.,What?,The execution shall dispatch...,All right. It'll be all right.,"Now, now, Hagrid. Now, come on."
697,Wait!,"Scabbers, come back.",Ron!,Ron. Ron!,He bit me. Scabbers.,"Oh, no.",Buckbeak didn't mean no harm.,Let's go!,I thought I just saw...Never mind.,What?,The execution shall dispatch...
698,"That's not good. Ron, run!","HARRY, you do realize what tree this is?","Scabbers, you bit me!",Wait!,"Scabbers, come back.",Ron!,Ron. Ron!,He bit me. Scabbers.,"Oh, no.",Buckbeak didn't mean no harm.,Let's go!
699,"Ron! Ron, wait!",Ah! HARRY!,It's the Grim!,"HARRY, Hermione, run!","That's not good. Ron, run!","HARRY, you do realize what tree this is?","Scabbers, you bit me!",Wait!,"Scabbers, come back.",Ron!,Ron. Ron!
700,Ron!,Ron!!,HARRY!Help!,"Ron! Ron, wait!",Ah! HARRY!,It's the Grim!,"HARRY, Hermione, run!","That's not good. Ron, run!","HARRY, you do realize what tree this is?","Scabbers, you bit me!",Wait!
701,Ron. Ron.,Ron!,Ron!!,HARRY!Help!,"Ron! Ron, wait!",Ah! HARRY!,It's the Grim!,"HARRY, Hermione, run!","That's not good. Ron, run!","HARRY, you do realize what tree this is?","Scabbers, you bit me!"
702,Come on!,Ron!,Ron. Ron.,Ron!,Ron!!,HARRY!Help!,"Ron! Ron, wait!",Ah! HARRY!,It's the Grim!,"HARRY, Hermione, run!","That's not good. Ron, run!"
703,Move!,Come on!,Ron!,Ron. Ron.,Ron!,Ron!!,HARRY!Help!,"Ron! Ron, wait!",Ah! HARRY!,It's the Grim!,"HARRY, Hermione, run!"
704,Don't worry.,"Oh, I'm sorry.",HARRY!,Duck!,Move!,Come on!,Ron!,Ron. Ron.,Ron!,Ron!!,HARRY!Help!
705,I have a hunch.,Where do you suppose this goes?,Don't worry.,"Oh, I'm sorry.",HARRY!,Duck!,Move!,Come on!,Ron!,Ron. Ron.,Ron!
706,I just hope I'm wrong.,I have a hunch.,Where do you suppose this goes?,Don't worry.,"Oh, I'm sorry.",HARRY!,Duck!,Move!,Come on!,Ron!,Ron. Ron.
707,Come on.,"We're in the Shrieking Shack, aren't we?",I just hope I'm wrong.,I have a hunch.,Where do you suppose this goes?,Don't worry.,"Oh, I'm sorry.",HARRY!,Duck!,Move!,Come on!
708,Ron.,Come on.,"We're in the Shrieking Shack, aren't we?",I just hope I'm wrong.,I have a hunch.,Where do you suppose this goes?,Don't worry.,"Oh, I'm sorry.",HARRY!,Duck!,Move!
709,The dog. Where is it?,Ron. You're okay.,Ron.,Come on.,"We're in the Shrieking Shack, aren't we?",I just hope I'm wrong.,I have a hunch.,Where do you suppose this goes?,Don't worry.,"Oh, I'm sorry.",HARRY!
710,Then it'll be you!,No. Only one will die tonight.,"If you want to kill HARRY, you have to kill us too!",He's an Animagus.,It's a trap. He's the dog.,The dog. Where is it?,Ron. You're okay.,Ron.,Come on.,"We're in the Shrieking Shack, aren't we?",I just hope I'm wrong.
711,I know why.,HARRY has the right to know why.,But wait one more minute.,Very well. Kill him.,Twelve years of it! In Azkaban!,I did my waiting!,Wait!,"Come on, let's kill him!","Enough talk, Remus!",You are the brightest witch of your age I've ever met.,"Well, Hermione."
712,You betrayed my parents.,I know why.,HARRY has the right to know why.,But wait one more minute.,Very well. Kill him.,Twelve years of it! In Azkaban!,I did my waiting!,Wait!,"Come on, let's kill him!","Enough talk, Remus!",You are the brightest witch of your age I've ever met.
713,You're the reason they're dead!,You betrayed my parents.,I know why.,HARRY has the right to know why.,But wait one more minute.,Very well. Kill him.,Twelve years of it! In Azkaban!,I did my waiting!,Wait!,"Come on, let's kill him!","Enough talk, Remus!"
714,"Who was it, then?","Somebody did betray your parents somebody who, until quite recently, I believed to be dead!","No, it wasn't him.",You're the reason they're dead!,You betrayed my parents.,I know why.,HARRY has the right to know why.,But wait one more minute.,Very well. Kill him.,Twelve years of it! In Azkaban!,I did my waiting!
715,Expelliarmus!,After you.,"Severus, please.","It's said to be nearly unbearable to witness, but I'll do my best.","Oh, yes. A Dementor's Kiss. One can only imagine what that must be like.",Do I detect a flicker of fear?,They're so longing to see you.,But why deny the dementors?,"I could do it, you know.",Why don't you run along and play with your chemistry set!,"You two, quarrelling like an old married couple."
716,Tell me about Peter.,You attacked a teacher!,HARRY! What did you just do?,Expelliarmus!,After you.,"Severus, please.","It's said to be nearly unbearable to witness, but I'll do my best.","Oh, yes. A Dementor's Kiss. One can only imagine what that must be like.",Do I detect a flicker of fear?,They're so longing to see you.,But why deny the dementors?
717,No. Pettigrew's dead. You killed him!,We thought he was our friend!,He was at school with us.,Tell me about Peter.,You attacked a teacher!,HARRY! What did you just do?,Expelliarmus!,After you.,"Severus, please.","It's said to be nearly unbearable to witness, but I'll do my best.","Oh, yes. A Dementor's Kiss. One can only imagine what that must be like."
718,"The map was lying, then.","I thought so too, until you mentioned Pettigrew on the map!","No, he didn't.",No. Pettigrew's dead. You killed him!,We thought he was our friend!,He was at school with us.,Tell me about Peter.,You attacked a teacher!,HARRY! What did you just do?,Expelliarmus!,After you.
719,All they could find of Pettigrew was his...,So what?,"He's missing a toe, isn't he?",Curiously long life for a common garden rat!,Twelve years?,Scabbers has been in my family for...,Not you! Your rat!,Me?! He's mental!,And he's right there!,Pettigrew's alive!,The map never lies!
720,Show me.,And then he transformed into a rat!,Dirty coward cut it off so everyone would think he was dead!,Finger!,All they could find of Pettigrew was his...,So what?,"He's missing a toe, isn't he?",Curiously long life for a common garden rat!,Twelve years?,Scabbers has been in my family for...,Not you! Your rat!
721,"Give it to him, Ron.",Show me.,And then he transformed into a rat!,Dirty coward cut it off so everyone would think he was dead!,Finger!,All they could find of Pettigrew was his...,So what?,"He's missing a toe, isn't he?",Curiously long life for a common garden rat!,Twelve years?,Scabbers has been in my family for...
722,No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!,James wouldn't have wanted me killed!,"I'm gonna died, I'm gonna die rather than betray my friends!",What would you have done?,What would you have done?,"Ask yourself, Sirius!",The Dark Lord. You have no idea the weapons he possesses!,I didn't mean to!
723,I know what he is.,"HARRY, this man...",No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!,James wouldn't have wanted me killed!,"I'm gonna died, I'm gonna die rather than betray my friends!",What would you have done?,What would you have done?,"Ask yourself, Sirius!"
724,But we'll take him to the castle.,I know what he is.,"HARRY, this man...",No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!,James wouldn't have wanted me killed!,"I'm gonna died, I'm gonna die rather than betray my friends!",What would you have done?,What would you have done?
725,Get off!,"Bless you, boy. Bless you!",But we'll take him to the castle.,I know what he is.,"HARRY, this man...",No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!,James wouldn't have wanted me killed!,"I'm gonna died, I'm gonna die rather than betray my friends!"
726,I said we'd take you to the castle.,Get off!,"Bless you, boy. Bless you!",But we'll take him to the castle.,I know what he is.,"HARRY, this man...",No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!,James wouldn't have wanted me killed!
727,"After that, the dementors can have you.",I said we'd take you to the castle.,Get off!,"Bless you, boy. Bless you!",But we'll take him to the castle.,I know what he is.,"HARRY, this man...",No!,"Should have realized if Voldemort didn't kill you, we would. Together!",He would have shown me mercy!,Your dad would have spared me!
728,Okay.,"But the fleas, they're murder.",The tail I could live with.,"More than once, James suggested that I make the change permanent.","Normally, I have a very sweet disposition as a dog.",I was going for the rat.,You almost tore my leg off!,A bit? A bit?,I reckon that twinges a bit.,Sorry about the bite.,"After that, the dementors can have you."
729,"No. Don't worry, okay?",You better go.,Okay.,"But the fleas, they're murder.",The tail I could live with.,"More than once, James suggested that I make the change permanent.","Normally, I have a very sweet disposition as a dog.",I was going for the rat.,You almost tore my leg off!,A bit? A bit?,I reckon that twinges a bit.
730,It's fine. I'll stay.,"No. Don't worry, okay?",You better go.,Okay.,"But the fleas, they're murder.",The tail I could live with.,"More than once, James suggested that I make the change permanent.","Normally, I have a very sweet disposition as a dog.",I was going for the rat.,You almost tore my leg off!,A bit? A bit?
731,You okay?,"You go, I'll stay.",It's fine. I'll stay.,"No. Don't worry, okay?",You better go.,Okay.,"But the fleas, they're murder.",The tail I could live with.,"More than once, James suggested that I make the change permanent.","Normally, I have a very sweet disposition as a dog.",I was going for the rat.
732,I didn't think my dad would have wanted his best friends to become killers.,He doesn't deserve it.,That was a noble thing you did back there.,It'll be nice to do it again as a free man.,I'll never forget the first time I walked through those doors.,"It's beautiful, isn't it?",It'll have to be chopped off.,It's too late. It's ruined.,I'm sure Madam Pomfrey will fix it in a heartbeat.,They might chop it.,So painful.
733,"Besides, dead, the truth dies with him.",I didn't think my dad would have wanted his best friends to become killers.,He doesn't deserve it.,That was a noble thing you did back there.,It'll be nice to do it again as a free man.,I'll never forget the first time I walked through those doors.,"It's beautiful, isn't it?",It'll have to be chopped off.,It's too late. It's ruined.,I'm sure Madam Pomfrey will fix it in a heartbeat.,They might chop it.
734,"Alive, you're free.","Besides, dead, the truth dies with him.",I didn't think my dad would have wanted his best friends to become killers.,He doesn't deserve it.,That was a noble thing you did back there.,It'll be nice to do it again as a free man.,I'll never forget the first time I walked through those doors.,"It's beautiful, isn't it?",It'll have to be chopped off.,It's too late. It's ruined.,I'm sure Madam Pomfrey will fix it in a heartbeat.
735,I know.,"I don't know if you know, HARRY but when you were born, James and Lily made me your godfather.",Get away from her!,"Sweet, clever girl! Surely you won't...",I was your rat!,"You won't let them give me to the dementors, will you?",Ron! Haven't I been a good pet?,Anything but the dementors!,Turn me into a flobberworm.,"Alive, you're free.","Besides, dead, the truth dies with him."
736,What? Come and live with you?,I can understand if you choose to stay with your aunt and uncle but if you ever wanted a different home...,I know.,"I don't know if you know, HARRY but when you were born, James and Lily made me your godfather.",Get away from her!,"Sweet, clever girl! Surely you won't...",I was your rat!,"You won't let them give me to the dementors, will you?",Ron! Haven't I been a good pet?,Anything but the dementors!,Turn me into a flobberworm.
737,Expelliarmus!,This flesh is only flesh!,This heart is where you truly live! Here!,"You know the man you truly are, Remus!",Have you taken your potion tonight?,"Remus, my old friend.",HARRY!,I can understand if you don't want to.,It's just a thought.,What? Come and live with you?,I can understand if you choose to stay with your aunt and uncle but if you ever wanted a different home...
738,Come on.,Run! Run!,Remus! Remus!,HARRY!,Expelliarmus!,This flesh is only flesh!,This heart is where you truly live! Here!,"You know the man you truly are, Remus!",Have you taken your potion tonight?,"Remus, my old friend.",HARRY!
739,Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!,Professor? Professor Lupin?,Hermione! Bad idea. Bad idea.,Wait. Wait.,Come on.,Run! Run!,Remus! Remus!,HARRY!,Expelliarmus!
740,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!,Professor? Professor Lupin?,Hermione! Bad idea. Bad idea.,Wait. Wait.,Come on.,Run! Run!,Remus! Remus!
741,No. Sirius!,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!,Professor? Professor Lupin?,Hermione! Bad idea. Bad idea.,Wait. Wait.,Come on.,Run! Run!
742,Expecto Patronum!,No. Sirius!,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!,Professor? Professor Lupin?,Hermione! Bad idea. Bad idea.,Wait. Wait.,Come on.
743,I saw my dad.,HARRY?,Expecto Patronum!,No. Sirius!,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!,Professor? Professor Lupin?,Hermione! Bad idea. Bad idea.
744,He sent the dementors away.,What?,I saw my dad.,HARRY?,Expecto Patronum!,No. Sirius!,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!",Nice doggy. Nice doggy!
745,I saw him across the lake.,He sent the dementors away.,What?,I saw my dad.,HARRY?,Expecto Patronum!,No. Sirius!,Sirius!,"Come back here, Potter!",Sirius!,"There you are, Potter!"
746,They're gonna kill him?,Any minute the dementors are gonna perform the Kiss.,"Listen HARRY, they've captured Sirius.",I saw him across the lake.,He sent the dementors away.,What?,I saw my dad.,HARRY?,Expecto Patronum!,No. Sirius!,Sirius!
747,It's true sir. Sirius is innocent.,They've got the wrong man.,"Headmaster, you've got to stop them.",They're going to suck out his soul.,Much worse.,No. It's worse.,They're gonna kill him?,Any minute the dementors are gonna perform the Kiss.,"Listen HARRY, they've captured Sirius.",I saw him across the lake.,He sent the dementors away.
748,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.,"When in doubt, I find retracing my steps to be a wise place to begin.","Oh, and by the way.","Three turns should do it, I think.",If you succeed tonight more than one innocent life may be spared.,"If not, the consequences are too ghastly to discuss.","And you would do well, I feel, to return before this last chime.",You must not be seen.
749,Where's Ron?,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.,"When in doubt, I find retracing my steps to be a wise place to begin.","Oh, and by the way.","Three turns should do it, I think.",If you succeed tonight more than one innocent life may be spared.,"If not, the consequences are too ghastly to discuss.","And you would do well, I feel, to return before this last chime."
750,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?,Where's Ron?,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.,"When in doubt, I find retracing my steps to be a wise place to begin.","Oh, and by the way.","Three turns should do it, I think.",If you succeed tonight more than one innocent life may be spared.
751,Hermione!,Come on. And we can't be seen.,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?,Where's Ron?,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.,"When in doubt, I find retracing my steps to be a wise place to begin.","Oh, and by the way."
752,"Hermione! Hermione, wait.",Hermione!,Come on. And we can't be seen.,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?,Where's Ron?,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.,"When in doubt, I find retracing my steps to be a wise place to begin."
753,"Hermione, will you please tell me what it is we're doing?","Hermione! Hermione, wait.",Hermione!,Come on. And we can't be seen.,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?,Where's Ron?,What just happened?,"Sorry, Ron, but seeing as you can't walk...",What the bloody hell was that all about?,Good luck.
754,That's us.,"You! You foul, loathsome,evil little cockroach!",Come to see the show?,"Hermione, will you please tell me what it is we're doing?","Hermione! Hermione, wait.",Hermione!,Come on. And we can't be seen.,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?,Where's Ron?,What just happened?
755,This is not normal.,"Hermione, no! He's not worth it.",That's us.,"You! You foul, loathsome,evil little cockroach!",Come to see the show?,"Hermione, will you please tell me what it is we're doing?","Hermione! Hermione, wait.",Hermione!,Come on. And we can't be seen.,I don't know. Going to Hagrid's?,07:30. Where were we at 7:30?
756,You mean we've gone back in time?,This is how I've been getting to my lessons all year.,McGonagall gave it to me first term.,"This is a Time-Turner, HARRY.",This is not normal.,"Hermione, no! He's not worth it.",That's us.,"You! You foul, loathsome,evil little cockroach!",Come to see the show?,"Hermione, will you please tell me what it is we're doing?","Hermione! Hermione, wait."
757,Good punch.,"Clearly, something happened he wants us to change.",Dumbledore obviously wanted us to return to this moment.,Yes.,You mean we've gone back in time?,This is how I've been getting to my lessons all year.,McGonagall gave it to me first term.,"This is a Time-Turner, HARRY.",This is not normal.,"Hermione, no! He's not worth it.",That's us.
758,Come on. We should be at Hagrid's.,"Not good, brilliant.",That felt good.,I'm gonna get that jumped-up mudblood! Mark my words.,"Not a word to anyone, understood?",Run.,Malfoy's coming.,Thanks.,Good punch.,"Clearly, something happened he wants us to change.",Dumbledore obviously wanted us to return to this moment.
759,Look. Buckbeak's still alive.,Come on. We should be at Hagrid's.,"Not good, brilliant.",That felt good.,I'm gonna get that jumped-up mudblood! Mark my words.,"Not a word to anyone, understood?",Run.,Malfoy's coming.,Thanks.,Good punch.,"Clearly, something happened he wants us to change."
760,Here they come. I'd better hurry.,Let's go.,"If we succeed, more than one innocent life could be spared.",Remember what Dumbledore said?,Of course.,Look. Buckbeak's still alive.,Come on. We should be at Hagrid's.,"Not good, brilliant.",That felt good.,I'm gonna get that jumped-up mudblood! Mark my words.,"Not a word to anyone, understood?"
761,That's Pettigrew.,Keep a closer eye on your pet.,"Scabbers, you're alive!","Otherwise, he'll think Hagrid set him free.",Fudge has to see Buckbeak before we steal him.,Here they come. I'd better hurry.,Let's go.,"If we succeed, more than one innocent life could be spared.",Remember what Dumbledore said?,Of course.,Look. Buckbeak's still alive.
762,Hermione that's the he betrayed my parents.,"HARRY, you can't.",That's Pettigrew.,Keep a closer eye on your pet.,"Scabbers, you're alive!","Otherwise, he'll think Hagrid set him free.",Fudge has to see Buckbeak before we steal him.,Here they come. I'd better hurry.,Let's go.,"If we succeed, more than one innocent life could be spared.",Remember what Dumbledore said?
763,You don't expect me to sit here.,Hermione that's the he betrayed my parents.,"HARRY, you can't.",That's Pettigrew.,Keep a closer eye on your pet.,"Scabbers, you're alive!","Otherwise, he'll think Hagrid set him free.",Fudge has to see Buckbeak before we steal him.,Here they come. I'd better hurry.,Let's go.,"If we succeed, more than one innocent life could be spared."
764,Are you mad?,Why aren't we leaving?,And we aren't leaving?,Fudge is coming.,We can't be seen.,Awful things happen to wizards who meddle with time HARRY.,"If you go bursting in, you'll think you've gone mad.","HARRY, you're in Hagrid's hut now.","Yes, and you must!",You don't expect me to sit here.,Hermione that's the he betrayed my parents.
765,That hurt.,Are you mad?,Why aren't we leaving?,And we aren't leaving?,Fudge is coming.,We can't be seen.,Awful things happen to wizards who meddle with time HARRY.,"If you go bursting in, you'll think you've gone mad.","HARRY, you're in Hagrid's hut now.","Yes, and you must!",You don't expect me to sit here.
766,What?,Is that really what my hair looks like from the back?,We're coming out the back door. Go!,Sorry.,That hurt.,Are you mad?,Why aren't we leaving?,And we aren't leaving?,Fudge is coming.,We can't be seen.,Awful things happen to wizards who meddle with time HARRY.
767,Get away. Get off.,"Okay, go, HARRY. Go!",Let's go.,I thought I just saw… Never mind.,What?,Is that really what my hair looks like from the back?,We're coming out the back door. Go!,Sorry.,That hurt.,Are you mad?,Why aren't we leaving?
768,"Okay, Buckbeak. Come quickly. ","Yes, very well. Perhaps it would be...","Minister, I really think I should sign as well.",Get away. Get off.,"Okay, go, HARRY. Go!",Let's go.,I thought I just saw… Never mind.,What?,Is that really what my hair looks like from the back?,We're coming out the back door. Go!,Sorry.
769,Come with us now. Come on.,"Okay, Buckbeak. Come quickly. ","Yes, very well. Perhaps it would be...","Minister, I really think I should sign as well.",Get away. Get off.,"Okay, go, HARRY. Go!",Let's go.,I thought I just saw… Never mind.,What?,Is that really what my hair looks like from the back?,We're coming out the back door. Go!
770,Buckbeak. Okay?,Keep trying. Come on. Quickly.,Come with us now. Come on.,"Okay, Buckbeak. Come quickly. ","Yes, very well. Perhaps it would be...","Minister, I really think I should sign as well.",Get away. Get off.,"Okay, go, HARRY. Go!",Let's go.,I thought I just saw… Never mind.,What?
771,Quickly. Hurry up. Okay?,Buckbeak. Okay?,Keep trying. Come on. Quickly.,Come with us now. Come on.,"Okay, Buckbeak. Come quickly. ","Yes, very well. Perhaps it would be...","Minister, I really think I should sign as well.",Get away. Get off.,"Okay, go, HARRY. Go!",Let's go.,I thought I just saw… Never mind.
772,"Hurry up now, Buckbeak, okay?",It's such a very long name...,Your name only.,Quickly. Hurry up. Okay?,Buckbeak. Okay?,Keep trying. Come on. Quickly.,Come with us now. Come on.,"Okay, Buckbeak. Come quickly. ","Yes, very well. Perhaps it would be...","Minister, I really think I should sign as well.",Get away. Get off.
